2025-01-18 00:21:37 [http-nio-8080-exec-4] INFO  s.e.n.s.service.UserServiceImpl - Dashboard 'Andrew's Dashboard' initialized for user 'Andrew'
2025-01-18 00:21:37 [http-nio-8080-exec-4] INFO  s.e.n.s.service.UserServiceImpl - Saving user and initializing dashboard
2025-01-18 00:21:37 [http-nio-8080-exec-5] INFO  s.e.n.s.service.DashboardServiceImpl - Calculating total sum of expenses for username: Andrew
2025-01-18 00:21:37 [http-nio-8080-exec-5] INFO  s.e.n.s.service.DashboardServiceImpl - Total sum of expenses for username Andrew is: 0.0
2025-01-18 00:21:37 [http-nio-8080-exec-6] INFO  s.e.n.s.service.DashboardServiceImpl - Calculating total sum of each expense type for username: Andrew
2025-01-18 00:21:37 [http-nio-8080-exec-6] INFO  s.e.n.s.service.DashboardServiceImpl - Expenses grouped by type for username Andrew: {}
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Attempting to add group members to the active dashboard
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Fetched dashboard for username: Andrew
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Added member 'Andrew' successfully to the dashboard 'Andrew's Dashboard'
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Added member 'Joseph' successfully to the dashboard 'Andrew's Dashboard'
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Added member 'Manyu' successfully to the dashboard 'Andrew's Dashboard'
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Added member 'bindu' successfully to the dashboard 'Andrew's Dashboard'
2025-01-18 00:22:09 [http-nio-8080-exec-8] INFO  s.e.n.s.s.GroupMemberServiceImpl - Successfully added all group members to the dashboard for username: Andrew
2025-01-18 00:22:37 [http-nio-8080-exec-10] INFO  s.e.n.s.service.ExpenseServiceImpl - Attempting to add expense to the active dashboard
2025-01-18 00:22:37 [http-nio-8080-exec-10] INFO  s.e.n.s.service.ExpenseServiceImpl - Successfully added expense with ID: 1
2025-01-18 00:22:37 [http-nio-8080-exec-2] INFO  s.e.n.s.service.DashboardServiceImpl - Calculating total sum of expenses for username: Andrew
2025-01-18 00:22:37 [http-nio-8080-exec-1] INFO  s.e.n.s.service.ExpenseServiceImpl - Fetched 1 expenses from the database
2025-01-18 00:22:37 [http-nio-8080-exec-2] INFO  s.e.n.s.service.DashboardServiceImpl - Total sum of expenses for username Andrew is: 220.0
2025-01-18 00:22:37 [http-nio-8080-exec-4] INFO  s.e.n.s.service.DashboardServiceImpl - Calculating total sum of each expense type for username: Andrew
